index,YEAR,LOCATION,CATTLE_BREED_TYPE,CATTLE_GENDER,CATTLE_AGE_0_6,CATTLE_AGE_6_6,CATTLE_AGE_6_12,CATTLE_AGE_12_18,CATTLE_AGE_18_24,CATTLE_AGE_24_30,CATTLE_AGE_30_36,CATTLE_AGE_36_PLUS
390,2018,Erriff,DAIRY,M,0,1,49,5,100,3,8,2
391,2016,Dargle,DAIRY,M,0,8,80,8,36,5,5,2
392,2015,Dodder,DAIRY,M,0,7,14,4,19,0,3,2
393,2017,Currane,DAIRY,M,0,0,10,0,1,0,0,0
394,2016,Currane,DAIRY,M,0,0,10,0,1,0,0,0
395,2015,Currane,DAIRY,M,0,0,10,0,1,0,0,0
396,2016,Nore,BEEF,C,0,0,0,3,264,718,4641,56468
397,2018,Vartry,BEEF,C,0,0,0,0,11,39,244,1931
398,2015,Vartry,BEEF,C,0,0,0,0,10,41,194,1962
399,2016,Vartry,BEEF,C,0,0,0,0,10,40,194,1923
400,2016,Nore,DAIRY,C,0,0,0,1,148,424,19792,78344
401,2018,Dargle,BEEF,C,0,0,0,0,3,22,86,1228
402,2020,Dargle,BEEF,C,0,0,0,0,3,22,83,1223
403,2017,Boyne,BEEF,C,0,0,0,2,194,580,4717,55948
404,2018,Moy,BEEF,C,0,0,0,0,113,248,3322,43345
405,2015,Moy,BEEF,C,0,0,0,0,119,246,3341,43638
406,2020,Boyne,DAIRY,C,0,0,0,0,112,1297,9514,56766
407,2017,Boyne,DAIRY,C,0,0,0,0,111,1293,9566,56835
408,2015,Inny,BEEF,C,0,0,0,0,114,290,2399,30815
409,2017,Doonbeg,BEEF,C,0,0,0,0,31,41,369,5768
410,2019,Nore,BEEF,F,1810,8266,36999,9288,30116,3272,3523,1180
411,2017,Nore,BEEF,F,1797,8239,37173,9308,30043,3255,3567,1179
412,2017,Ilen,BEEF,F,250,895,4118,732,2537,291,408,168
413,2016,Ilen,BEEF,F,251,912,4133,736,2526,291,409,168
414,2019,Dodder,BEEF,F,11,77,230,101,277,61,62,6
415,2014,Dodder,BEEF,F,6,77,174,83,194,34,54,6
416,2017,Erriff,BEEF,C,0,0,0,0,4,11,44,810
417,2014,Erriff,BEEF,C,0,0,0,0,4,5,39,738
418,2020,Doonbeg,DAIRY,C,0,0,0,0,6,4,1134,5829
419,2017,Doonbeg,DAIRY,C,0,0,0,0,6,3,1075,5437
420,2019,Gweebarra,BEEF,C,0,0,0,0,1,1,49,784
421,2015,Gweebarra,BEEF,C,0,0,0,0,1,1,45,745
422,2019,Erriff,BEEF,C,0,0,0,0,4,10,39,685
423,2014,Moy,BEEF,F,929,4077,19413,3949,13502,1785,3966,1035
424,2014,Inny,DAIRY,F,229,529,5483,829,5276,602,1029,297
425,2017,Vartry,DAIRY,C,0,0,0,1,4,48,153,1123
426,2018,Inny,DAIRY,F,235,526,5374,856,5365,552,1056,299
427,2017,Nore,DAIRY,F,447,1671,29299,2052,26350,1472,4213,748
428,2016,Nore,DAIRY,F,455,1688,29202,2046,26355,1455,4200,729
429,2016,Erriff,BEEF,F,7,75,255,53,122,15,63,10
430,2016,Moy,DAIRY,F,166,348,2396,534,2039,379,617,285
431,2017,Gweebarra,DAIRY,C,0,0,0,0,0,0,13,70
432,2016,Gweebarra,DAIRY,C,0,0,0,0,0,0,13,70
433,2020,Gweebarra,DAIRY,F,0,0,23,0,11,0,4,0
434,2018,Dodder,DAIRY,F,0,21,193,13,99,3,11,9
435,2018,Dargle,DAIRY,F,0,19,230,29,125,14,21,8
436,2014,Dodder,DAIRY,F,0,21,193,13,101,3,11,9
437,2018,Currane,DAIRY,F,0,0,2,0,3,0,0,1
438,2014,Erriff,DAIRY,C,0,0,0,0,0,0,0,4
439,2019,Erriff,DAIRY,C,0,0,0,0,0,0,1,3
440,2019,Inny,DAIRY,F,244,579,5092,713,5215,701,1336,237
441,2016,Erriff,DAIRY,F,0,0,0,0,1,1,0,0
442,2016,Moy,BEEF,M,758,4049,15796,2849,10092,1284,1498,1266
443,2017,Gweebarra,BEEF,M,8,78,186,26,38,2,7,16
444,2014,Erriff,BEEF,M,17,66,293,26,128,28,27,15
445,2014,Gweebarra,DAIRY,M,10,0,158,14,120,24,4,0
446,2015,Erriff,DAIRY,M,0,0,4,0,9,0,2,1
447,2016,Ilen,BEEF,C,0,0,0,0,12,76,472,6860
448,2014,Dargle,DAIRY,C,0,0,0,0,0,11,32,316
449,2020,Dodder,DAIRY,C,0,0,0,0,0,11,32,300
450,2016,Doonbeg,DAIRY,F,10,34,1753,50,1664,17,438,63
451,2016,Currane,DAIRY,C,0,0,0,0,0,0,3,33
452,2016,Dargle,DAIRY,F,0,17,190,14,180,19,19,2
453,2018,Gweebarra,DAIRY,F,0,1,12,0,18,0,0,0
454,2020,Doonbeg,BEEF,M,116,546,2304,307,1226,162,275,268
455,2015,Gweebarra,BEEF,M,8,77,187,26,38,3,7,16
456,2017,Inny,DAIRY,M,226,524,2156,553,2192,307,444,127
457,2015,Boyne,DAIRY,C,0,0,0,0,89,1056,8242,52349
458,2017,Moy,BEEF,F,765,3889,17688,3254,13601,2311,4429,1017
459,2018,Nore,BEEF,F,1527,7927,34624,8348,27638,4887,4605,1219
460,2014,Inny,DAIRY,C,0,0,0,0,33,166,3307,15489
461,2014,Boyne,DAIRY,F,1212,4433,14732,5054,13854,3905,4124,1298
462,2018,Erriff,BEEF,F,12,74,238,46,155,21,62,9
463,2015,Erriff,BEEF,F,12,69,236,44,151,38,73,8
464,2014,Nore,BEEF,M,1694,8577,41054,9602,38630,4992,5629,2836
465,2014,Ilen,BEEF,M,289,1019,4259,685,2412,416,394,381
466,2018,Gweebarra,BEEF,M,9,92,196,32,39,2,7,17
467,2017,Currane,DAIRY,M,0,0,0,0,6,0,0,0
468,2016,Currane,DAIRY,M,0,0,0,0,6,0,0,0
469,2015,Currane,DAIRY,M,0,0,0,0,6,0,0,0
470,2018,Moy,BEEF,C,0,0,0,0,79,239,2585,42341
471,2017,Boyne,DAIRY,C,0,0,0,0,87,1014,8181,52217
472,2017,Doonbeg,BEEF,C,0,0,0,0,11,35,309,5778
473,2019,Dodder,BEEF,F,8,111,230,66,183,73,72,13
474,2014,Dodder,BEEF,F,6,102,156,42,132,38,66,14
475,2019,Erriff,DAIRY,C,0,0,0,0,0,1,23,47
476,2018,Dodder,DAIRY,F,0,17,174,13,148,17,9,1
477,2018,Dargle,DAIRY,F,8,26,199,25,197,26,25,2
478,2014,Gweebarra,BEEF,M,28,162,452,138,386,20,22,34
479,2019,Nore,DAIRY,C,0,0,0,0,140,305,15925,71105
480,2016,Vartry,BEEF,F,63,270,943,346,1099,160,269,65
481,2020,Nore,BEEF,M,1689,8462,39801,9313,36463,4809,5292,2736
482,2018,Doonbeg,DAIRY,M,5,40,919,25,731,11,161,29
483,2020,Currane,DAIRY,M,0,0,20,0,6,0,3,0
484,2016,Dodder,BEEF,C,0,0,0,0,1,6,42,550
485,2019,Vartry,BEEF,F,47,247,937,326,1106,121,222,58
486,2015,Dodder,DAIRY,C,0,0,0,0,0,11,31,255
487,2016,Vartry,DAIRY,F,36,101,184,164,202,117,73,35
488,2020,Erriff,BEEF,F,10,64,205,41,152,21,60,9
489,2019,Nore,DAIRY,M,508,2516,25916,2830,25721,1775,2525,476
490,2019,Erriff,BEEF,M,12,60,196,21,58,13,9,16
491,2018,Ilen,DAIRY,M,102,304,1601,408,1456,98,213,37
492,2014,Nore,BEEF,F,1504,8032,35365,8626,28525,5083,4717,1311
493,2020,Doonbeg,DAIRY,F,10,52,1829,69,1764,38,461,74
494,2015,Doonbeg,BEEF,M,124,526,2309,292,1273,173,300,266
495,2016,Erriff,BEEF,M,16,67,191,19,59,12,8,18
496,2014,Currane,DAIRY,M,0,0,7,0,5,0,0,0
497,2016,Moy,DAIRY,C,0,0,0,0,21,83,1366,9120
498,2015,Nore,DAIRY,C,0,0,0,0,144,311,15870,70744
499,2019,Ilen,BEEF,F,263,922,3927,731,2492,433,464,151
500,2015,Nore,DAIRY,F,502,1516,27282,2039,26888,1659,5195,767
501,2020,Currane,DAIRY,C,0,0,0,0,0,0,3,34
502,2020,Ilen,DAIRY,F,98,357,4758,448,4580,469,1011,186
503,2017,Moy,BEEF,C,0,0,0,0,78,237,2600,42624
504,2020,Moy,BEEF,F,753,3808,17375,3146,13191,2288,4347,1001
505,2018,Ilen,BEEF,C,0,0,0,0,12,78,472,6854
506,2018,Erriff,BEEF,C,0,0,0,0,2,4,28,803
507,2015,Dargle,BEEF,F,8,177,492,122,431,106,167,30
508,2017,Boyne,DAIRY,F,1191,4178,14259,4870,13388,3817,4054,1197
509,2020,Moy,DAIRY,F,166,386,2185,451,2129,422,731,289
510,2019,Vartry,DAIRY,M,21,98,95,47,114,47,45,13
511,2014,Dargle,DAIRY,M,10,21,37,7,31,4,8,1
512,2020,Boyne,BEEF,C,0,0,0,3,198,485,3852,55554
513,2015,Ilen,BEEF,C,0,0,0,0,12,76,475,6904
514,2018,Moy,DAIRY,F,163,378,2193,456,2136,408,733,289
515,2016,Erriff,DAIRY,C,0,0,0,0,0,0,1,3
516,2015,Nore,BEEF,M,1672,8482,40422,9471,37815,4943,5493,2809
517,2014,Moy,BEEF,M,761,4082,15923,2747,10136,1279,1536,1271
518,2017,Inny,BEEF,M,692,3820,15148,3756,13741,2200,3627,1663
519,2020,Erriff,BEEF,M,12,60,173,26,133,18,9,16
520,2018,Ilen,DAIRY,C,0,0,0,0,27,106,3195,16623
521,2014,Ilen,DAIRY,C,0,0,0,0,28,107,3347,17193
522,2014,Doonbeg,DAIRY,C,0,0,0,0,5,4,1093,5116
523,2019,Currane,BEEF,F,20,227,265,91,167,44,62,26
524,2020,Gweebarra,BEEF,F,7,71,228,58,153,20,53,10
525,2016,Inny,BEEF,M,696,3837,15128,3804,13813,2172,3630,1683
526,2017,Dodder,BEEF,M,11,88,143,60,66,18,16,27
527,2015,Ilen,DAIRY,M,102,314,1603,410,1492,99,217,38
528,2015,Moy,BEEF,C,0,0,0,0,81,236,2615,42863
529,2018,Vartry,BEEF,C,0,0,0,0,9,16,179,1834
530,2015,Vartry,DAIRY,M,23,101,109,76,123,62,54,15
531,2016,Erriff,DAIRY,M,0,0,4,0,9,0,2,1
532,2020,Currane,BEEF,C,0,0,0,0,1,10,82,1250
533,2014,Moy,DAIRY,F,168,416,2211,473,2181,434,755,294
534,2017,Erriff,BEEF,F,12,74,238,46,155,21,62,9
535,2017,Gweebarra,BEEF,F,5,64,223,47,144,20,56,10
536,2014,Gweebarra,DAIRY,C,0,0,0,0,0,0,0,24
537,2017,Boyne,BEEF,M,1485,8153,32558,8387,29177,5620,8525,3411
538,2020,Inny,DAIRY,M,245,546,2251,531,2150,303,424,125
539,2017,Moy,DAIRY,C,0,0,0,0,21,86,1366,9214
540,2020,Moy,BEEF,C,0,0,0,0,76,236,2547,41710
541,2014,Boyne,DAIRY,C,0,0,0,0,94,1134,8556,53937
542,2020,Inny,BEEF,C,0,0,0,0,84,232,1718,30622
543,2015,Nore,BEEF,F,1504,7912,35017,8440,27654,4898,4659,1286
544,2015,Vartry,DAIRY,C,0,0,0,0,1,45,109,1161
545,2016,Dargle,BEEF,F,8,177,490,118,388,94,131,28
546,2014,Gweebarra,BEEF,C,0,0,0,0,4,4,102,1696
547,2016,Dodder,BEEF,F,6,96,152,40,132,36,66,13
548,2018,Nore,BEEF,M,1702,8477,40035,9367,37033,4933,5432,2754
549,2020,Inny,BEEF,M,687,3824,14840,3642,13203,2093,3462,1624
550,2014,Dargle,BEEF,M,19,151,414,115,222,48,104,49
551,2017,Doonbeg,BEEF,M,116,532,2301,284,1236,166,289,266
552,2019,Boyne,DAIRY,M,1022,3077,8701,3259,8361,1880,1832,429
553,2019,Moy,DAIRY,M,198,336,1143,266,913,150,178,48
554,2014,Nore,BEEF,C,0,0,0,2,194,604,4330,57491
555,2015,Moy,DAIRY,C,0,0,0,0,22,86,1371,9165
556,2015,Doonbeg,DAIRY,C,0,0,0,0,5,4,1089,5054
557,2020,Doonbeg,DAIRY,M,5,34,894,21,718,12,161,29
558,2015,Doonbeg,DAIRY,M,5,40,896,21,728,12,161,29
559,2019,Erriff,DAIRY,M,0,0,116,5,131,6,5,2
560,2016,Boyne,DAIRY,C,0,0,0,0,92,1061,8234,52467
561,2019,Inny,BEEF,C,0,0,0,0,86,231,1742,30895
562,2017,Dodder,BEEF,C,0,0,0,0,1,6,42,550
563,2015,Dodder,BEEF,C,0,0,0,0,1,6,42,550
564,2017,Boyne,BEEF,F,1486,7925,33505,9450,35472,7000,7809,1662
565,2018,Currane,BEEF,C,0,0,0,0,1,11,81,1252
566,2020,Inny,DAIRY,F,253,590,4978,722,5145,706,1349,241
567,2014,Currane,BEEF,F,20,218,255,93,170,44,58,23
568,2016,Dodder,DAIRY,F,0,17,174,13,148,17,9,1
569,2019,Moy,BEEF,M,744,3979,15565,2770,9754,1222,1430,1234
570,2014,Doonbeg,DAIRY,M,5,40,892,21,718,12,160,29
571,2015,Boyne,BEEF,C,0,0,0,3,202,501,3808,56241
572,2016,Currane,BEEF,C,0,0,0,0,1,11,82,1249
573,2019,Doonbeg,DAIRY,C,0,0,0,0,5,5,1132,5259
574,2014,Dargle,BEEF,F,8,177,492,122,430,106,167,30
575,2019,Erriff,BEEF,F,10,64,205,41,140,21,60,9
576,2016,Gweebarra,DAIRY,F,0,1,12,0,17,0,0,0
577,2020,Currane,BEEF,M,31,222,170,50,61,26,27,45
578,2016,Vartry,BEEF,M,65,274,805,175,587,100,150,77
579,2015,Moy,DAIRY,M,201,335,1069,285,882,150,168,49
580,2017,Gweebarra,DAIRY,M,0,0,19,1,26,0,1,0
581,2017,Inny,BEEF,C,0,0,0,0,85,229,1702,30836
582,2018,Dodder,BEEF,C,0,0,0,0,1,6,43,566
583,2016,Dargle,DAIRY,C,0,0,0,0,0,11,32,316
584,2014,Dargle,DAIRY,F,0,17,190,14,180,19,19,2
585,2014,Gweebarra,DAIRY,F,0,2,2,0,6,0,0,0
586,2015,Currane,BEEF,M,32,217,173,50,61,25,27,43
587,2016,Nore,BEEF,F,1507,7977,34838,8400,27802,4953,4656,1271
588,2017,Inny,DAIRY,C,0,0,0,0,32,172,3244,15360
589,2015,Boyne,DAIRY,F,1194,4293,14168,4965,13366,3843,3988,1266
590,2014,Inny,DAIRY,M,298,652,2242,688,2052,279,437,123
591,2016,Moy,DAIRY,M,200,325,1077,286,909,151,169,49
592,2016,Ilen,DAIRY,M,103,322,1590,408,1487,99,213,38
593,2017,Erriff,BEEF,M,17,68,209,20,59,13,9,19
594,2015,Vartry,BEEF,M,61,278,801,175,550,87,116,75
595,2019,Doonbeg,DAIRY,M,5,33,887,25,734,11,161,29
596,2016,Inny,BEEF,C,0,0,0,0,82,228,1727,30908
597,2019,Dodder,BEEF,C,0,0,0,0,2,6,42,619
598,2020,Ilen,DAIRY,C,0,0,0,0,27,109,3204,16601
599,2019,Currane,BEEF,C,0,0,0,0,1,11,82,1248
600,2017,Dodder,BEEF,F,6,96,152,40,132,36,66,13
601,2018,Erriff,DAIRY,C,0,0,0,0,0,1,23,47
602,2018,Nore,DAIRY,M,508,2484,25937,2798,25710,1734,2531,476
603,2017,Moy,DAIRY,M,203,330,1103,275,920,151,178,50
604,2014,Ilen,DAIRY,M,102,311,1642,411,1432,99,217,38
605,2014,Ilen,BEEF,C,0,0,0,0,12,69,475,7042
606,2018,Nore,DAIRY,F,502,1560,27359,2094,26896,1712,5252,742
607,2018,Boyne,DAIRY,F,1173,4135,13913,4833,13272,3780,4031,1244
608,2014,Gweebarra,BEEF,F,24,134,514,164,408,68,128,28
609,2020,Dargle,BEEF,M,22,152,435,115,228,46,96,49
610,2014,Nore,DAIRY,C,0,0,0,0,129,292,15846,70625
611,2017,Doonbeg,DAIRY,F,10,34,1756,50,1665,18,442,65
612,2020,Gweebarra,BEEF,C,0,0,0,0,0,0,48,738
613,2020,Dodder,BEEF,M,15,115,245,83,124,25,17,31
614,2014,Moy,DAIRY,M,205,348,1082,284,900,150,167,51
615,2016,Moy,BEEF,C,0,0,0,0,80,235,2612,42761
616,2018,Inny,BEEF,C,0,0,0,0,86,233,1726,30764
617,2015,Doonbeg,DAIRY,F,10,34,1740,55,1652,25,451,65
618,2020,Currane,BEEF,F,19,228,262,91,169,45,61,26
619,2019,Dodder,DAIRY,F,0,17,175,13,148,17,9,1
620,2016,Currane,BEEF,M,32,220,173,50,61,25,27,44
621,2020,Moy,DAIRY,C,0,0,0,0,21,85,1347,9042
622,2014,Moy,DAIRY,C,0,0,0,0,22,86,1334,9142
623,2017,Dargle,BEEF,C,0,0,0,0,2,9,90,1132
624,2018,Doonbeg,DAIRY,C,0,0,0,0,5,4,1111,5092
625,2016,Ilen,DAIRY,F,98,358,4771,459,4707,478,1016,190
626,2016,Nore,DAIRY,M,511,2498,26122,2812,25632,1751,2598,513
627,2017,Nore,DAIRY,C,0,0,0,0,142,310,15886,71058
628,2014,Ilen,BEEF,F,272,921,3947,691,2473,425,490,164
629,2020,Dodder,BEEF,F,9,123,244,73,195,77,81,16
630,2018,Gweebarra,DAIRY,C,0,0,0,0,0,0,24,55
631,2019,Nore,BEEF,M,1703,8453,39946,9333,36667,4845,5337,2741
632,2016,Dargle,BEEF,C,0,0,0,0,2,9,90,1131
633,2015,Dargle,BEEF,C,0,0,0,0,2,9,90,1132
634,2017,Ilen,DAIRY,C,0,0,0,0,27,108,3233,16695
635,2014,Doonbeg,BEEF,F,127,493,2547,337,1428,282,544,173
636,2016,Gweebarra,BEEF,C,0,0,0,0,0,0,51,714
637,2017,Inny,DAIRY,F,255,650,5064,778,5332,765,1323,245
638,2019,Boyne,DAIRY,F,1172,4099,13946,4791,13292,3749,4043,1260
639,2014,Erriff,BEEF,F,13,64,202,38,142,20,56,6
640,2015,Dodder,DAIRY,F,0,17,174,13,148,17,9,1
641,2019,Dargle,BEEF,M,19,151,427,113,222,48,105,49
642,2020,Nore,DAIRY,M,500,2486,26086,2769,25906,1734,2481,467
643,2015,Nore,DAIRY,M,502,2463,25941,2752,25519,1709,2535,489
644,2020,Dargle,BEEF,C,0,0,0,0,2,9,90,1138
645,2020,Boyne,DAIRY,C,0,0,0,0,88,1030,8143,52205
646,2017,Nore,BEEF,F,1528,7906,34774,8337,27728,4896,4619,1214
647,2017,Erriff,BEEF,C,0,0,0,0,2,4,28,803
648,2014,Inny,DAIRY,F,248,643,5292,747,5417,728,1320,234
649,2016,Nore,DAIRY,F,508,1548,27266,2054,26769,1674,5242,752
650,2017,Gweebarra,DAIRY,C,0,0,0,0,0,0,24,55
651,2014,Erriff,DAIRY,C,0,0,0,0,0,0,1,2
652,2015,Erriff,BEEF,M,16,67,184,25,63,12,8,18
653,2016,Vartry,DAIRY,M,23,101,109,73,102,58,51,14
654,2018,Moy,DAIRY,C,0,0,0,0,21,84,1329,9007
655,2016,Inny,BEEF,F,659,3879,14675,3682,13797,2599,3922,829
656,2018,Gweebarra,BEEF,C,0,0,0,0,0,0,49,749
657,2015,Vartry,DAIRY,F,36,101,184,164,203,118,74,36
658,2015,Currane,BEEF,F,20,224,260,90,169,44,58,24
659,2014,Inny,BEEF,M,703,3922,15576,3847,14118,2248,3896,1743
660,2015,Ilen,BEEF,M,286,1014,4602,843,2451,354,393,376
661,2019,Gweebarra,BEEF,M,9,91,193,32,38,2,7,17
662,2017,Dargle,DAIRY,M,10,21,37,7,31,4,8,1
663,2020,Inny,BEEF,F,664,3882,14317,3585,13138,2492,3732,754
664,2018,Inny,BEEF,F,667,3897,14591,3698,13844,2614,3914,788
665,2019,Moy,DAIRY,F,168,378,2186,453,2126,410,730,288
666,2015,Dodder,BEEF,F,6,96,152,40,132,36,66,13
667,2018,Inny,BEEF,M,699,3837,15109,3720,13675,2184,3599,1641
668,2019,Moy,BEEF,F,758,3825,17559,3207,13389,2293,4369,1006
669,2019,Dargle,DAIRY,C,0,0,0,0,0,11,32,316
670,2018,Dargle,BEEF,F,9,181,514,122,410,94,137,30
671,2015,Currane,DAIRY,C,0,0,0,0,0,0,3,33
672,2019,Ilen,DAIRY,F,98,357,4772,455,4605,471,1024,190
673,2015,Erriff,DAIRY,C,0,0,0,0,0,0,1,3
674,2017,Currane,DAIRY,F,0,0,3,0,3,0,0,0
675,2014,Dodder,BEEF,M,10,94,142,60,65,18,16,28
676,2018,Moy,DAIRY,M,197,331,1137,271,892,149,175,48
677,2020,Nore,DAIRY,C,0,0,0,0,139,298,16036,71175
678,2016,Boyne,BEEF,C,0,0,0,3,196,492,3801,56229
679,2019,Dargle,BEEF,C,0,0,0,0,2,9,89,1118
680,2015,Dargle,DAIRY,C,0,0,0,0,0,11,32,316
681,2018,Dargle,BEEF,M,20,154,445,125,230,50,105,49
682,2017,Vartry,DAIRY,M,23,101,108,73,100,53,45,10
683,2019,Dargle,DAIRY,M,10,21,37,7,31,4,8,1
684,2014,Inny,BEEF,C,0,0,0,0,85,234,1791,31518
685,2018,Dodder,BEEF,F,6,96,162,39,133,37,66,13
686,2020,Currane,DAIRY,F,0,0,3,0,3,0,0,4
687,2020,Dodder,DAIRY,M,3,23,32,14,176,24,10,1
688,2018,Nore,BEEF,C,0,0,0,2,192,607,4349,56779
689,2019,Doonbeg,BEEF,C,0,0,0,0,11,33,309,5756
690,2018,Boyne,BEEF,F,1479,7831,33058,9367,35452,6951,7780,1688
691,2019,Dodder,DAIRY,C,0,0,0,0,0,11,31,255
692,2020,Nore,DAIRY,F,499,1527,27209,2050,27109,1696,5353,741
693,2019,Currane,DAIRY,F,0,0,3,0,3,0,0,4
694,2018,Doonbeg,BEEF,M,115,529,2307,283,1235,166,289,266
695,2015,Dodder,BEEF,M,11,88,143,60,66,18,16,27
696,2017,Vartry,BEEF,F,63,268,931,341,1055,148,234,62
697,2015,Vartry,BEEF,F,59,268,932,350,1061,149,240,62
698,2015,Inny,BEEF,F,661,3888,14705,3643,13595,2516,3809,795
699,2016,Nore,BEEF,C,0,0,0,2,190,604,4342,57110
700,2014,Moy,BEEF,F,765,3929,17884,3285,13717,2336,4465,1035
701,2019,Nore,BEEF,F,1522,7891,34618,8333,27630,4880,4567,1211
702,2017,Ilen,BEEF,F,256,900,3965,716,2534,440,485,158
703,2017,Doonbeg,DAIRY,C,0,0,0,0,5,4,1108,5025
704,2019,Gweebarra,BEEF,C,0,0,0,0,0,0,49,739
705,2016,Moy,DAIRY,F,165,399,2190,459,2160,417,745,292
706,2016,Gweebarra,DAIRY,C,0,0,0,0,0,0,24,55
707,2014,Dodder,DAIRY,F,0,17,174,13,148,17,9,1
708,2018,Currane,DAIRY,F,0,0,3,0,3,0,0,4
709,2015,Erriff,DAIRY,F,0,0,0,0,1,1,0,0
710,2019,Inny,BEEF,M,691,3809,15154,3703,13642,2148,3554,1623
711,2018,Boyne,DAIRY,M,1018,3031,8434,3176,8133,1874,1812,426
712,2019,Gweebarra,DAIRY,M,0,0,19,1,26,1,1,0
713,2019,Boyne,BEEF,C,0,0,0,3,198,485,3864,55656
714,2020,Vartry,BEEF,C,0,0,0,0,8,19,181,1998
715,2014,Vartry,BEEF,C,0,0,0,0,7,18,179,1908
716,2015,Moy,BEEF,F,779,3932,17774,3282,13665,2323,4432,1034
717,2020,Boyne,BEEF,F,1475,7856,33242,9339,35669,6999,7869,1749
718,2018,Dodder,DAIRY,C,0,0,0,0,0,11,31,255
719,2020,Dargle,DAIRY,C,0,0,0,0,0,11,32,316
720,2017,Dodder,DAIRY,C,0,0,0,0,0,11,31,255
721,2020,Doonbeg,BEEF,F,121,505,2539,346,1434,264,545,150
722,2020,Erriff,BEEF,C,0,0,0,0,2,3,28,696
723,2015,Currane,BEEF,C,0,0,0,0,1,11,82,1232
724,2017,Inny,BEEF,F,655,3878,14629,3681,13760,2613,3937,814
725,2018,Vartry,DAIRY,F,37,121,196,194,246,129,73,35
726,2016,Boyne,DAIRY,F,1202,4283,14268,4955,13409,3826,4008,1264
727,2018,Currane,BEEF,F,20,227,264,91,167,44,62,27
728,2016,Gweebarra,BEEF,F,5,64,223,47,142,20,56,10
729,2020,Dodder,DAIRY,F,8,26,61,22,55,24,15,1
730,2020,Boyne,BEEF,M,1471,8080,32614,8911,29689,5707,8448,3379
731,2016,Ilen,BEEF,M,286,1015,4587,828,2439,351,390,371
732,2018,Currane,DAIRY,M,0,0,20,0,6,0,3,0
733,2019,Currane,BEEF,M,29,238,170,26,58,10,7,55
734,2020,Inny,BEEF,M,760,4038,16164,4634,14168,1431,2772,1617
735,2018,Inny,BEEF,M,764,4030,16203,4717,14693,1493,2858,1647
736,2019,Nore,DAIRY,M,475,2235,28692,3245,23022,1413,2040,312
737,2017,Doonbeg,BEEF,M,164,550,2630,288,1252,97,238,289
738,2018,Vartry,BEEF,M,50,323,966,215,934,93,144,84
739,2019,Moy,DAIRY,M,155,257,1317,485,926,119,131,42
740,2020,Moy,DAIRY,M,162,332,1330,483,899,117,128,44
741,2018,Ilen,DAIRY,M,105,228,2019,291,1174,103,145,64
742,2019,Erriff,BEEF,M,18,69,263,18,68,9,8,24
743,2019,Boyne,DAIRY,M,856,3006,10402,3832,7735,1705,1343,461
744,2020,Erriff,DAIRY,M,0,2,60,75,380,15,9,2
745,2018,Dargle,DAIRY,M,3,12,89,26,48,9,6,2
746,2017,Dodder,DAIRY,M,0,7,14,4,19,0,3,2
747,2015,Dargle,DAIRY,M,0,8,80,8,36,5,5,2
748,2020,Nore,BEEF,C,0,0,0,3,264,713,4621,55870
749,2019,Nore,BEEF,C,0,0,0,3,266,720,4651,56147
750,2015,Nore,BEEF,C,0,0,0,3,258,713,4596,56163
751,2014,Nore,BEEF,C,0,0,0,3,255,714,4611,56492
752,2015,Moy,DAIRY,C,0,0,0,0,12,68,1518,9770
753,2014,Nore,DAIRY,C,0,0,0,1,124,385,19694,77839
754,2014,Dargle,BEEF,C,0,0,0,0,3,21,80,1195
755,2019,Dargle,DAIRY,C,0,0,0,0,3,8,53,305
756,2016,Dodder,DAIRY,C,0,0,0,0,3,8,36,240
757,2019,Boyne,DAIRY,C,0,0,0,0,111,1288,9520,56675
758,2015,Boyne,BEEF,F,1671,7907,35644,11668,37391,4896,6480,1688
759,2014,Nore,BEEF,F,1790,8251,37475,9361,30079,3310,3626,1244
760,2020,Ilen,BEEF,C,0,0,0,0,13,104,509,6679
761,2019,Ilen,DAIRY,C,0,0,0,0,25,74,3624,18156
762,2015,Inny,DAIRY,C,0,0,0,0,57,189,3669,16818
763,2018,Dargle,BEEF,F,11,155,537,146,485,73,130,44
764,2015,Doonbeg,DAIRY,C,0,0,0,0,6,3,1058,5440
765,2020,Gweebarra,BEEF,C,0,0,0,0,1,1,49,782
766,2019,Moy,BEEF,F,933,3968,19405,3893,13478,1786,3952,1020
767,2015,Currane,DAIRY,C,0,0,0,0,0,0,3,35
768,2020,Doonbeg,DAIRY,F,8,34,1866,61,1684,58,388,92
769,2017,Doonbeg,DAIRY,F,7,26,1765,43,1633,41,358,77
770,2019,Nore,DAIRY,F,448,1668,29347,2040,26332,1509,4144,737
771,2019,Ilen,DAIRY,F,105,335,4967,410,4634,338,797,225
772,2014,Ilen,DAIRY,F,105,338,5165,407,4671,340,804,227
773,2017,Currane,BEEF,F,23,212,270,125,153,66,44,19
774,2016,Currane,BEEF,F,23,212,267,125,154,66,44,19
775,2019,Gweebarra,BEEF,F,14,74,208,50,107,20,65,11
776,2018,Gweebarra,BEEF,F,14,76,210,48,109,20,65,12
777,2015,Gweebarra,DAIRY,F,0,0,23,0,11,0,4,0
778,2019,Dargle,DAIRY,F,0,18,217,13,116,4,17,8
779,2020,Dargle,DAIRY,F,0,18,217,13,116,4,17,8
780,2015,Dargle,DAIRY,F,0,18,217,13,116,4,17,8
